Borough,Neighborhood,Latitude,Longitude
North West Delhi,Adarsh Nagar,28.6141925,77.0715411848447
North West Delhi,Ashok Vihar,28.6994533,77.1848256
North West Delhi,Begum Pur,28.725503,77.0583706
North West Delhi,Model Town,28.7027136,77.1939912
North West Delhi,Narela,28.8426096,77.0918354
North West Delhi,Pitam Pura,28.7032676,77.1322497
North West Delhi,Shalimar Bagh,28.71745265,77.15086654617409
North Delhi,Civil Lines,28.6768508,77.2250299
North Delhi,Gulabi Bagh,28.6516214,77.1139354
North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055
North Delhi,Kashmiri Gate,28.6699765,77.2320588
North Delhi,Kotwali,28.6419258,77.2217499
North Delhi,Mori Gate; Delhi,28.664203,77.2237393
North Delhi,Sadar Bazaar,28.6609052,77.2277153
North Delhi,Sarai Rohilla,28.66100315,77.20151396783757
North Delhi,Shakti Nagar,28.67979,77.1949142
North Delhi,Tis Hazari,28.6671626,77.2166306
North Delhi,Timarpur,28.70126285,77.21867953631201
North Delhi,Wazirabad,28.7140117,77.22993962505592
North East Delhi,Dilshad Garden,28.6758257,77.3215163
North East Delhi,Naveen Shahdara,28.6773386,77.2860157
North East Delhi,Shahdara,28.6733333,77.2890248
North East Delhi,Shastri Park,28.6684339,77.2505301
North East Delhi,Yamuna Vihar,28.700372,77.2727728
Central Delhi,Chandni Chowk,28.6434826,77.2227421
Central Delhi,Daryaganj,28.64609,77.243048
Central Delhi,Jhandewalan,28.6443188,77.1999165
Central Delhi,Karol Bagh,28.6529982,77.1890227
Central Delhi,Shastri Nagar,28.6700885,77.1818589
Central Delhi,Kishanganj,28.6627442,77.1979077
Central Delhi,Paharganj,28.6414989,77.2140607
New Delhi,Barakhamba Road,28.6273988,77.2288941
New Delhi,Chanakyapuri,28.5946775,77.1885212
New Delhi,Connaught Place,28.6313827,77.2197924
East Delhi,East Vinod Nagar,28.6227661,77.3075035
East Delhi,Jhilmil Colony,28.6698142,77.3072827
East Delhi,Laxmi Nagar,28.6305526,77.277575
East Delhi,Mayur Vihar,28.6133497,77.2955378
East Delhi,Pandav Nagar,28.6501272,77.1532783
East Delhi,Preet Vihar,28.6414409,77.2952594
East Delhi,Anand Vihar,28.641115,77.3125024
East Delhi,Vasundhara Enclave,28.60172565,77.3211224956397
East Delhi,Vishwas Nagar,28.66447005,77.29174139182146
East Delhi,Vivek Vihar,28.6691641,77.31226695421603
South Delhi,Alaknanda,28.5293364,77.2516323
South Delhi,Chattarpur,28.4971399,77.1812506
South Delhi,Chittaranjan Park,28.5387523,77.2492493451557
South Delhi,Defence Colony,28.5717909,77.2320102
South Delhi,East of Kailash,28.557032200000002,77.24461392068525
South Delhi,Govindpuri,28.6419258,77.2217499
South Delhi,Greater Kailash,28.5591566,77.2460179
South Delhi,Green Park,28.5555374,77.2024966
South Delhi,Gulmohar Park,28.5571011,77.2130055
South Delhi,Hauz Khas,28.5442564,77.2067072
South Delhi,Hauz Khas Village,28.55385485,77.1947127585299
South Delhi,Jangpura,28.5830409,77.2393165
South Delhi,Jor Bagh,28.58823925,77.21652774187173
South Delhi,Kalkaji,28.6419258,77.2217499
South Delhi,Khanpur,28.5127982,77.2323949
South Delhi,Lajpat Nagar,28.5792615,77.2440325
South Delhi,Lodi Colony,28.59070215,77.22092057315884
South Delhi,Malviya Nagar,28.5339201,77.2124474
South Delhi,Mehrauli,28.5218262,77.1783232
South Delhi,Neeti Bagh,28.5592511,77.2161665
South Delhi,Nehru Place,28.6434826,77.2227421
South Delhi,Netaji Nagar,28.5735343,77.1863593
South Delhi,New Friends Colony,28.5671008,77.2697643
South Delhi,Nizamuddin West,28.588365,77.2449546
South Delhi,Okhla,28.5636616,77.2890546
South Delhi,Safdarjung Enclave,28.5656419,77.1934382
South Delhi,Sainik Farm,28.503746,77.21607253402124
South Delhi,Saket,28.5244107,77.2137253
South Delhi,Sangam Vihar,28.605127,76.9994916
South Delhi,Sarita Vihar,28.5084401,77.33886
South Delhi,Sarojini Nagar,28.5741575,77.1953703
South Delhi,Sarvodaya Enclave,28.5374783,77.2020888
South Delhi,Siri Fort,28.5521464,77.2246983
South Delhi,South Extension,28.5685664,77.2205677
South Delhi,Sriniwaspuri,28.5652204,77.2547041
South Delhi,Tughlaqabad,28.5111925,77.2623265
South Delhi,Badarpur,28.4931698,77.3030239
South West Delhi,"Dabri, New Delhi",28.6107697,77.09110590789903
South West Delhi,Delhi Cantonment,28.5925928,77.122304
South West Delhi,Dhaula Kuan,28.5918905,77.1617034
South West Delhi,Inderpuri,28.6286841,77.1470979
South West Delhi,Mahipalpur,28.544537,77.1279229
South West Delhi,Moti Bagh,28.667837249999998,77.18180988488024
South West Delhi,Munirka,28.554886,77.1710841
South West Delhi,Najafgarh,28.612304,76.9823908
South West Delhi,Naraina Vihar,28.6273375,77.1403175
South West Delhi,Palam,28.5918933,77.0828242
South West Delhi,Rama Krishna Puram,28.5755607,77.17230336809229
South West Delhi,Vasant Kunj,28.5292495,77.1541335
South West Delhi,Vasant Vihar,28.56069055,77.16079073168567
West Delhi,Ashok Nagar,28.6419258,77.2217499
West Delhi,Bali Nagar,28.6541384,77.128178
West Delhi,Fateh Nagar,28.6316154,77.1008776
West Delhi,Kirti Nagar,28.6475771,77.1456436
West Delhi,Moti Nagar,28.657859,77.1424288
West Delhi,Paschim Vihar,28.6695782,77.095956
West Delhi,Patel Nagar,28.6598088,77.156957
West Delhi,Punjabi Bagh,28.668945,77.1324614
West Delhi,Rajouri Garden,28.6451121,77.1239332
West Delhi,Tihar Village,28.6346361,77.1071121
West Delhi,Tilak Nagar,28.63964975,77.09403946346426
West Delhi,Vikas Nagar,28.6440092,77.05447042853372
West Delhi,Vikaspuri,28.638419050000003,77.07083614685489
